percentile,portfolio_return_pct,disruption_days,brent_change_pct,tanker_delivery_disruption_pct,ust_10yr_change_bps,em_spread_change_bps,idr_pct_change
P1,-26.081,9.0,-17.5,5.0,-5.0,-12.0,-188.62
P5,-17.259,14.0,-5.8,7.8,4.0,4.0,-125.7
P10,-14.084,17.0,0.9,9.7,9.0,14.0,-100.43
P25,-9.805,25.0,13.6,13.9,18.0,32.0,-69.24
P50,-6.296,38.0,30.7,21.0,31.0,58.0,-45.9
P75,-3.72,57.0,52.1,31.4,48.0,91.0,-28.69
P90,-1.872,82.0,77.7,45.3,69.0,133.0,-17.71
P95,-0.889,102.0,97.3,56.6,87.0,166.0,-12.78
P99,0.853,155.0,145.0,86.1,130.0,248.0,-4.42
