percentile,equity_value_usd,equity_value_usd_m,static_npv_mean_usd,option_value_usd,expanded_npv_mean_usd,ic_decision
P5,10575596.0,10.58,37661031.0,2275000.0,39936031.0,PROCEED
P10,14170993.0,14.17,37661031.0,2275000.0,39936031.0,PROCEED
P25,22514458.0,22.51,37661031.0,2275000.0,39936031.0,PROCEED
P50,37239491.0,37.24,37661031.0,2275000.0,39936031.0,PROCEED
P75,59373007.0,59.37,37661031.0,2275000.0,39936031.0,PROCEED
P90,87347496.0,87.35,37661031.0,2275000.0,39936031.0,PROCEED
P95,107515425.0,107.52,37661031.0,2275000.0,39936031.0,PROCEED
